id;lang;word;definition;hint;difficulty;nbTimesChosen
210;E;BICYCLE;Vehicle;Two wheels;E;0
211;E;ENVELOPE;Paper cover;Letter;E;0
212;E;BALLOON;Toy;Filled with air;E;0
213;E;REFRIGERATOR;Large container;Cold;E;0
214;E;DRESS;Piece of clothing;Woman;E;0
215;E;TELEVISION;Rectangular device;Channels;E;0
216;E;COMPUTER;Electronic machine;Data;E;0
217;E;PAINTER;Job;Colors;E;0
218;E;MECHANIC;Job;Cars;E;0
219;E;TEACHER;Job;Science;E;0
220;E;CHICKEN;Bird;Egg;E;0
221;E;METRE;Unit;Length;E;0
222;E;CHILD;Human being;Boy;E;0
