id;lang;word;definition;hint;difficulty;nbTimesChosen
149;E;ABSTRUSE;Difficult to understand;;H;0
150;E;AMBIGUOUS;Having more than one interpretation;;H;0
151;E;CLANDESTINE;Done secretly;;H;0
152;E;CONUNDRUM;Confusing problem;;H;0
153;E;CRYPTIC;Mysterious;;H;0
154;E;DEARTH;Lack of something;;H;0
155;E;EBULLIENT;Full of enthusiasm;;H;0
156;E;ENIGMA;Person or thing that is mysterious;;H;0
157;E;EQUIVOCATE;Use vague language;;H;0
158;E;ESOTERIC;Understood by only a small group;;H;0
159;E;EXACERBATE;Make a situation worse;;H;0
160;E;GREGARIOUS;Sociable;;H;0
161;E;INEFFABLE;Indescribable;;H;0
162;E;INSCRUTABLE;Enigmatic;;H;0
163;E;INSIDIOUS;Proceeding in a gradual, subtle way, but with harmful effects;;H;0
164;E;LABYRINTHINE;Complex or mazelike;;H;0
165;E;MELLIFLUOUS;Smooth and sweet;;H;0
166;E;OSTENTATIOUS;Pretentious or showy;;H;0
167;E;PEDANTIC;Overly concerned with minor details and rules;;H;0
168;E;PERPLEX;Confuse or puzzle someone;;H;0
169;E;PLAUSIBLE;Reasonable or probable;;H;0
170;E;QUIXOTIC;Unrealistic;;H;0
171;E;RETICENT;Reserved;;H;0
172;E;SAGACIOUS;Wise;;H;0
173;E;SERENDIPITY;Occurrence of fortunate or unexpected events by chance;;H;0
174;E;SOPHISTICATED;More advanced and complex;;H;0
175;E;SUPERCILIOUS;Haughty;;H;0
176;E;TREPIDATION;Fear or anxiety about something that may happen;;H;0
177;E;UBIQUITOUS;Present everywhere;;H;0
178;E;UNFATHOMABLE;Incomprehensible;;H;0
