id;lang;word;definition;hint;difficulty;nbTimesChosen
179;E;BELOVED;Adored;Cherished;N;0
180;E;CAPABLE;Able;Having the ability;N;0
181;E;DIVERSE;Several;Various;N;0
182;E;ELOQUENT;Expressing oneself;Fluently and persuasively;N;0
183;E;FASCINATE;Delight;Please greatly;N;0
184;E;GRATITUDE;Recognition;Being thankful;N;0
185;E;HARMONY;Cooperation;State of peaceful agreement;N;0
186;E;IMAGINATION;Creativity;Creative mental ability;N;0
187;E;JOVIAL;Cheerful;Good mood;N;0
188;E;KNOWLEDGE;Understanding;Accumulation of facts and expertise;N;0
189;E;LAVISH;Extravagant;Excessive spending;N;0
190;E;MELANCHOLY;Feeling;Sadness;N;0
191;E;NOSTALGIA;Sentimental yearning;Past;N;0
192;E;UNIQUE;Unlike anything else;One;N;0
193;E;BLISS;Happiness;Extreme;N;0
194;E;IMPECCABLE;Without mistakes;Perfect;N;0
195;E;GENUINE;Original;Authentic;N;0
196;E;SEAHORSE;Aquatic animal;Horse;N;0
197;E;GIRAFFE;Animal;Long;N;0
198;E;CASTLE;Residence;Monarchy;N;0
199;E;AERODROME;Area where to land;Small aircraft;N;0
200;E;WIZARD;Man with powers;Magic;N;0
201;E;ENCYCLOPEDIA;Book;Generally a set of books;N;0
202;E;HELICOPTER;Aircraft;Long blades;N;0
203;E;LOCOMOTIVE;Vehicle;Train;N;0
204;E;PYJAMAS;Clothes;Bed;N;0
205;E;PASSPORT;Document;Official;N;0
206;E;EYEGLASSES;Lenses;See;N;0
207;E;HARD DISK;Device;Storage;N;0
208;E;CURTAINS;Large pieces of material;Window;N;0
209;E;PROVINCE;Region;Autonomy;N;0
