id;lang;word;definition;hint;difficulty;nbTimesChosen
44;PAIN;Nourriture de base;Farine;E;0;
45;CHAT;Animal domestique;Souris;E;0;
46;PORT;Endroit où on accoste;Bateaux;E;0;
47;HAUT;Direction;Au-dessus;E;0;
48;NEUF;Nouveau;Non utilisé;E;0;
49;VENT;Mouvement de l'air;Souffle;E;0;
50;CIEL;Atmosphère;Bleu;E;0;
51;VIDE;Sans contenu;Rien;E;0;
52;BOIS;Matériau;Arbres;E;0;
53;TEMPS;Mesure;Durée;E;0;
54;BLEU;Couleur;Primaire;E;0;
55;MAIN;Partie du corps humain;Deux;E;0;
56;PORTE;Ouverture;Clé;E;0;
57;LONG;Etendu;Pas court;E;0;
58;MIEL;Substance sucrée;Abeilles;E;0;
59;MIROIR;Surface réfléchissante;Se coiffer;E;0;
60;PEUR;Émotion;En cas de danger;E;0;
61;FAIM;Sensation;Estomac;E;0;
62;COIN;Angle formé par deux lignes;Endroit;E;0;
63;VERRE;Matériau;Transparent;E;0;
64;FERME;Lieu pas dans la ville ;Animaux;E;0;
65;PEAU;Couche externe;Corps;E;0;
66;BONHEUR;État de satisfaction;Joie;E;0;
67;CHIEN;Animal de compagnie;Gardien;E;0;
68;FROID;Etat relatif à la température;Hiver;E;0;
69;OEIL;Organe;Visage;E;0;
70;JOUR;Période;Unité pour le mois;E;0;
71;VOIR;Percevoir;Yeux;E;0;
72;SAUT;Action de bondir;Kangourous;E;0;
73;BASE;Fondation;Elle sert de support;E;0;
74;RIRE;Réaction joyeuse;Sons amusants;E;0;
